Package,Version,Built
tools,4.6.1,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:14:19 UTC; windows
translations,4.6.1,R 4.6.1; ; 2026-06-24 08:20:37 UTC; windows
tzdb,0.5.0,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:22 UTC; windows
urca,1.3-4,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 02:10:49 UTC; windows
utf8,1.2.6,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:05 UTC; windows
utils,4.6.1,R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:15:23 UTC; windows
uuid,1.2-2,R 4.6.0; x86_64-w64-mingw32; 2026-04-21 00:42:12 UTC; windows
vctrs,0.7.3,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 02:10:48 UTC; windows
viridisLite,0.4.3,R 4.6.1; ; 2026-07-21 01:02:04 UTC; windows
vroom,1.7.1,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 03:09:30 UTC; windows
withr,3.0.3,R 4.6.1; ; 2026-07-21 01:02:05 UTC; windows
xfun,0.60,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:45 UTC; windows
xml2,1.6.0,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:50:48 UTC; windows
xtable,1.8-8,R 4.6.1; ; 2026-07-21 01:02:52 UTC; windows
yaml,2.3.12,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:02:05 UTC; windows
zoo,1.8-15,R 4.6.1; x86_64-w64-mingw32; 2026-07-21 01:50:39 UTC; windows
