accession,symbol,log2FoldChange,AveExpr,t,pvalue,padj,B,significant
GSE40435,SOSTDC1,-1.6842469772871291,7.982520909455445,-28.54295599724622,2.480101772976678e-50,5.1431726436418334e-48,104.38976265715894,TRUE
GSE40435,AP1M2,-1.1943247549306937,7.759544168079208,-28.413386858753775,3.7421963548816964e-50,7.709416885313516e-48,103.97918357441068,TRUE
GSE40435,ERO1L,1.3258932462574262,8.396520586772278,28.405674463966044,3.835136739902191e-50,7.849246527666484e-48,103.95469758205138,TRUE
GSE40435,SIGIRR,-1.1262093205214523,8.212471338858085,-28.379487382874146,4.1684422724091366e-50,8.476013072611669e-48,103.87151707864163,TRUE
GSE40435,GATA3,-1.091182282514853,7.43943076670297,-28.34981950991763,4.581512982162372e-50,9.255838549898873e-48,103.77720650768163,TRUE
GSE40435,SLC7A8,-1.241377974788779,7.568568384480198,-28.33622414268523,4.784367403100919e-50,9.603697491070652e-48,103.7339622978882,TRUE
GSE40435,ATP5A1,-1.2377635914851515,12.915626808960395,-28.326210338018143,4.939555099372174e-50,9.852052763168171e-48,103.7020998060747,TRUE
GSE40435,FOLR3,-1.8969884436930697,7.80558841930198,-28.1490784988777,8.700501233473648e-50,1.7243512381328723e-47,103.13701035346561,TRUE
GSE40435,LAMA4,1.8436054962772304,8.069835447940594,28.107327494912035,9.946465334636352e-50,1.9588906634515896e-47,103.0034057475689,TRUE
GSE40435,NCK1,1.0799673853564358,9.440901682440593,28.104298610346458,1.004356969453607e-49,1.9656521338418907e-47,102.99370711486678,TRUE
GSE40435,DLST,-0.9967710245742578,8.987321715336634,-28.09143859194855,1.046661861605127e-49,2.0357248157952142e-47,102.95251952423723,FALSE
GSE40435,LOC286208,-1.2963073687029716,8.319403076826733,-28.088190115481442,1.0576296498717901e-49,2.0443589417336567e-47,102.94211306766681,TRUE
GSE40435,C9orf103,-1.768086441524755,9.34836718628713,-28.020928466472128,1.31269417825325e-49,2.5218224231792803e-47,102.72642732534736,TRUE
GSE40435,KCTD8,-0.4980348641485153,7.093817337757426,-27.975656442311713,1.5185046210240154e-49,2.8994179087040255e-47,102.58102490562334,FALSE
GSE40435,SAP30,1.2879354783861392,7.743846997915842,27.968221273455566,1.5552916796572437e-49,2.9516608276840562e-47,102.55712727255899,TRUE
GSE40435,C14orf37,-1.088144870128714,7.550963411717822,-27.947260464212395,1.6639121934304588e-49,3.1387799051253847e-47,102.48972945374446,TRUE
GSE40435,PLCL1,-1.0834118568910904,7.6935705028267325,-27.875644433591244,2.0961883285240792e-49,3.930541396371438e-47,102.25915306758401,TRUE
GSE40435,AFP,-2.5829749169603975,8.30701532879703,-27.861884431137433,2.1914131316384186e-49,4.0846375478646092e-47,102.21479772378906,TRUE
GSE40435,COL4A3,-0.9284281673415851,7.594136305507425,-27.84841613032475,2.2888446634815274e-49,4.2409989226189676e-47,102.17136599617142,FALSE
GSE40435,PYGL,1.4021093904554462,9.076344980029702,27.80512022267812,2.6326641948326194e-49,4.849367446881685e-47,102.03163615776425,TRUE
GSE40435,TYMS,1.3289270895544567,8.622602724133664,27.789926921427405,2.7652934628924404e-49,5.06388301152128e-47,101.98256196900883,TRUE
